"RelationID","ProductID","ProductID:製品名","MaterialID","MaterialID:MaterialsName","QuantityPerUnit","UnitType"
"PM-5791219-993420","5791219","ｶﾋﾞｸﾘｱﾂﾒｶｴﾎﾞﾄﾙ 600mlX12","993420","TRG  ｷﾞｮｳﾑﾖｳｱﾜﾄﾘｶﾞｰ(YT-01)ｼﾞｱ","12","EA"
"PM-5792051-900600","5792051","ﾌﾟﾛﾐﾈﾝｽ946MLX6","900600","CTN ﾌﾟﾛﾐﾈﾝｽ 946MLX6","1","EA"
"PM-5792051-913020","5792051","ﾌﾟﾛﾐﾈﾝｽ946MLX6","913020","LBL ﾌﾟﾛﾐﾈﾝｽ (ｵﾓﾃ) 946MLX6","6","EA"
"PM-5792051-913030","5792051","ﾌﾟﾛﾐﾈﾝｽ946MLX6","913030","LBL ﾌﾟﾛﾐﾈﾝｽ (ｳﾗ) 946MLX6","6","EA"
"PM-FB2-342506","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","342506","SXS-Y (20KG)","0.029","KG"
"PM-FB2-823510","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","823510","■ｴﾝｶｶﾙｼｳﾑ（ﾂﾌﾞ）(25KG)","0.0065","KG"
"PM-FB2-342389","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","342389","■次亜塩素酸ｿｰﾀﾞ","0.2","KG"
"PM-FB2-210409","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","210409","CADENAX DM14-DN(950KG)諸星納","0.065","KG"
"PM-FB2-342378","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","342378","WEYLCLEAN SAS 60(160KG) *23*","0.0145","KG"
"PM-FB2-3020314","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","3020314","ｹﾞﾅﾐﾉｯｸｽ K-10 (180KG)*30*","0.029","KG"
"PM-FB2-336701","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","336701","BINT ｲｵﾝ交換水","0.50265","KG"
"PM-FB2-820140","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","820140","ｶｾｲｶﾘ 48% 工業用ｸﾞﾚｰﾄﾞ(ﾛｰﾘｰ)","0.0989","KG"
"PM-FB2-823904","FB2","BI ｻﾆﾀｽｱﾜﾉﾊﾅ F2","823904","ｸﾚｽﾄｶﾞｰﾄﾞ414LAS(250KG) *36*","0.05445","KG"
"PM-JB52-816016","JB52","BI ｶﾋﾞｸﾘｱ","816016","ﾌﾚｯｼｭﾚﾓﾝ　RE-51A","0.0002","KG"
"PM-JB52-362327","JB52","BI ｶﾋﾞｸﾘｱ","362327","■苛性ｿ-ﾀﾞ25%(ﾛ-ﾘ-)劇物ｼｮｸ","0.038","KG"
"PM-JB52-342389","JB52","BI ｶﾋﾞｸﾘｱ","342389","■次亜塩素酸ｿｰﾀﾞ","0.25","KG"
"PM-JB52-856073","JB52","BI ｶﾋﾞｸﾘｱ","856073","ｱｷｭｿﾞｰﾙ 445NG (25KG)","0.00931","KG"
"PM-JB52-336701","JB52","BI ｶﾋﾞｸﾘｱ","336701","BINT ｲｵﾝ交換水","0.66045","KG"
"PM-JB52-880795","JB52","BI ｶﾋﾞｸﾘｱ","880795","WEYLCLEAN SAS 93(25KG)","0.01022","KG"
"PM-JB52-881330","JB52","BI ｶﾋﾞｸﾘｱ","881330","ｹﾞﾅﾐﾉｯｸｽ OC (950KG/180KG)","0.03182","KG"
"PM-5832623-900730","5832623","ﾌﾟﾚﾅｽﾐｽﾞﾌﾞｷﾖｳﾓｯﾌﾟｼｰﾄX10","900730","CTN ﾌﾟﾚﾅｽﾓｯﾌﾟｼｰﾄ","1","EA"
"PM-5832623-913120","5832623","ﾌﾟﾚﾅｽﾐｽﾞﾌﾞｷﾖｳﾓｯﾌﾟｼｰﾄX10","913120","LBLﾌﾟﾚﾅｽﾓｯﾌﾟL","1","EA"
"PM-5832631-913120","5832631","ﾌﾟﾚﾅｽｶﾗﾌﾞｷﾖｳﾓｯﾌﾟｼｰﾄX10","913120","LBLﾌﾟﾚﾅｽﾓｯﾌﾟL","1","EA"
"PM-5832666-900750","5832666","ﾌﾟﾚﾅｽﾜｯｸｽﾖｳﾓｯﾌﾟｼｰﾄX10","900750","CTN ﾌﾟﾚﾅｽﾜｯｸｽﾓｯﾌﾟ","1","EA"
"PM-5832666-913120","5832666","ﾌﾟﾚﾅｽﾜｯｸｽﾖｳﾓｯﾌﾟｼｰﾄX10","913120","LBLﾌﾟﾚﾅｽﾓｯﾌﾟL","1","EA"
"PM-T40054-342389","T40054","ﾌﾞﾘｰﾁ 2KGX4","342389","■次亜塩素酸ｿｰﾀﾞ","4","KG"
"PM-T40054-336701","T40054","ﾌﾞﾘｰﾁ 2KGX4","336701","BINT ｲｵﾝ交換水","4","KG"
"PM-T40054-5265564","T40054","ﾌﾞﾘｰﾁ 2KGX4","5265564","BTL ﾌﾞﾘｰﾁ 2KG(G)","4","EA"
"PM-T40054-960340","T40054","ﾌﾞﾘｰﾁ 2KGX4","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","4","EA"
"PM-T40054-900770","T40054","ﾌﾞﾘｰﾁ 2KGX4","900770","CTN ﾃｨｰﾎﾟｰﾙﾌﾞﾘｰﾁ 2kgx4","1","EA"
"PM-T26044-933890","T26044","ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF 4KGX4","933890","BTL　ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF 4KGx4","4","EA"
"PM-T26044-900850","T26044","ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF 4KGX4","900850","CTN　ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF 4KGx4","1","EA"
"PM-T26044-JB53","T26044","ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF 4KGX4","JB53","BI ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF","16","KG"
"PM-T26044-920910","T26044","ﾃﾞﾀｰﾌｧｲﾝｽｰﾊﾟｰRF 4KGX4","920910","CAP DSﾎﾞﾄﾙ共用_ｽｲｶｲｼ","4","EA"
"PM-5878234-916360","5878234","ﾊｸﾘｻﾞｲﾉﾝﾘﾝｽﾀｲﾌﾟ N 18LX1","916360","CAN ﾊｸﾘｻﾞｲﾉﾝﾘﾝｽN","1","CS"
"PM-FB4-332358","FB4","BI ﾃﾞｨﾎﾞｽ2","332358","尿素 (20KG)","0.002","KG"
"PM-FB4-336701","FB4","BI ﾃﾞｨﾎﾞｽ2","336701","BINT ｲｵﾝ交換水","0.3259","KG"
"PM-FB4-894340","FB4","BI ﾃﾞｨﾎﾞｽ2","894340","ﾘﾝ酸75%(DLC) (10ﾄﾝﾛｰﾘｰ)","0.2479","KG"
"PM-FB4-894241","FB4","BI ﾃﾞｨﾎﾞｽ2","894241","希硝酸67.5%","0.4242","KG"
"PM-5883084-916760","5883084","ｵｷｼｳﾞｨﾙﾌｧｲﾌﾞ  3.78LX2","916760","CTN ｵｷｼｳﾞｨﾙﾌｧｲﾌﾞ 3.78LX2 ｶｰﾄﾝ","1","EA"
"PM-5883084-916750","5883084","ｵｷｼｳﾞｨﾙﾌｧｲﾌﾞ  3.78LX2","916750","LBL ｵｷｼｳﾞｨﾙﾌｧｲﾌﾞ 3.78LX2 ﾗﾍﾞﾙ","2","EA"
"PM-5883092-2903422","5883092","ｵｿｳｼﾞﾎﾝﾎﾟ ｶﾋﾞｸﾘｰﾅｰ 5LX3","2903422","BTL ｵｿｳｼﾞﾎﾝﾎﾟ ｶﾋﾞﾑｼﾞﾎﾞﾄﾙ600ML","3","EA"
"PM-5883092-5265497","5883092","ｵｿｳｼﾞﾎﾝﾎﾟ ｶﾋﾞｸﾘｰﾅｰ 5LX3","5265497","BTL ｵｿｳｼﾞﾎﾝﾎﾟｶﾋﾞｸﾘｰﾅｰ 5L(G)","3","EA"
"PM-5883092-5265500","5883092","ｵｿｳｼﾞﾎﾝﾎﾟ ｶﾋﾞｸﾘｰﾅｰ 5LX3","5265500","CTN ｵｿｳｼﾞﾎﾝﾎﾟｶﾋﾞｸﾘｰﾅｰ 5LX3","1","EA"
"PM-5883092-960340","5883092","ｵｿｳｼﾞﾎﾝﾎﾟ ｶﾋﾞｸﾘｰﾅｰ 5LX3","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","3","EA"
"PM-5883092-941960","5883092","ｵｿｳｼﾞﾎﾝﾎﾟ ｶﾋﾞｸﾘｰﾅｰ 5LX3","941960","CAP ﾉｽﾞﾙｺｯｸ JDCNS (1X1)","3","EA"
