"材料品番","材料名","単位","ID"
"3020103","OTH共通BIB用PPﾊﾞﾝﾄﾞ(ｱｵ)","EA","2876"
"2885586","CTN BIB 共通ｻｲﾄﾞﾋﾟｰｽ ﾛｺﾞ無","EA","2877"
"962170","POU共通BIBﾊﾞｯｸ+ﾌﾟﾙﾘﾝｸﾞｷｬｯﾌﾟ","EA","2878"
"984610","CTN BIB共通ﾗｯﾌﾟﾋﾟｰｽｶｯﾄﾃｰﾌﾟﾅｼ","EA","2879"
"912190","LBL ｼﾞｭｼﾜｯｸｽUHSﾖｳｺｳﾀｸ2 18L BIB","EA","2880"
"5298889","BI ｽﾌﾟﾘﾝﾄｸﾞﾛｽ","KG","2881"
"963330","FLM BIB 18Lﾊﾟﾜ-ｼｭﾘﾝｸ13280=20ﾎﾝ","EA","2882"
"3020103","OTH共通BIB用PPﾊﾞﾝﾄﾞ(ｱｵ)","EA","2883"
"2885586","CTN BIB 共通ｻｲﾄﾞﾋﾟｰｽ ﾛｺﾞ無","EA","2884"
"962170","POU共通BIBﾊﾞｯｸ+ﾌﾟﾙﾘﾝｸﾞｷｬｯﾌﾟ","EA","2885"
"984610","CTN BIB共通ﾗｯﾌﾟﾋﾟｰｽｶｯﾄﾃｰﾌﾟﾅｼ","EA","2886"
"912200","LBL ｼﾞｭｼﾜｯｸｽUHSﾖｳﾀｲｷｭｳ2 18LBIB","EA","2887"
"5298900","BI ｽﾌﾟﾘﾝﾄﾀﾌ","KG","2888"
"963330","FLM BIB 18Lﾊﾟﾜ-ｼｭﾘﾝｸ13280=20ﾎﾝ","EA","2889"
"3020103","OTH共通BIB用PPﾊﾞﾝﾄﾞ(ｱｵ)","EA","2890"
"2885586","CTN BIB 共通ｻｲﾄﾞﾋﾟｰｽ ﾛｺﾞ無","EA","2891"
"962170","POU共通BIBﾊﾞｯｸ+ﾌﾟﾙﾘﾝｸﾞｷｬｯﾌﾟ","EA","2892"
"984610","CTN BIB共通ﾗｯﾌﾟﾋﾟｰｽｶｯﾄﾃｰﾌﾟﾅｼ","EA","2893"
"912210","LBL ｼﾞｭｼﾜｯｸｽｽﾀﾝﾀﾞｰﾄﾞ03 18L BIB","EA","2894"
"6050818","BI ﾀｲｷｭｳｵｳ ﾌﾟﾗｽC","KG","2895"
"4032499","BTL 10BLD･KM344ﾅﾁｭﾗﾙ","EA","2896"
"912240","LBL ｳｨﾝﾀｰAD10A 10Lﾛｰﾙ","EA","2897"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2898"
"958955","LBLｾﾝｼﾞｮｳｷﾌｳｲﾝｼｰﾙ ｱｵ ｼｰﾄ","EA","2899"
"2886351","CAP KC50420(10･12.5L共用)","EA","2900"
"647190","BI ★ﾃﾞﾀｰｸﾘｰﾝLAM (DLAM)","KG","2901"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2902"
"3045221","CAP KC60550(20L共用)","EA","2903"
"931600","BTL 20L ﾍﾝﾍﾟｲ ﾅﾁｭﾗﾙ","EA","2904"
